"Date","Country","Status","Color","Type","Value"
2022-07-03,"Thailand","Confirmed","#D6604D","Count per 10K",658.123257434944
2022-07-03,"Thailand","Confirmed","#D6604D","New Cases per 10K",0.289701440520446
2022-07-03,"Austria","Confirmed","#D6604D","Total Count",4471152
2022-07-03,"Austria","Confirmed","#D6604D","Count per 10K",5132.17630853995
2022-07-03,"Austria","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Israel","Confirmed","#D6604D","Total Count",4377578
2022-07-03,"Israel","Confirmed","#D6604D","Count per 10K",5343.72314453125
2022-07-03,"Israel","Confirmed","#D6604D","New Cases per 10K",11.204833984375
2022-07-03,"Belgium","Confirmed","#D6604D","Total Count",4246078
2022-07-03,"Belgium","Confirmed","#D6604D","Count per 10K",3738.40288783236
2022-07-03,"Belgium","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Chile","Confirmed","#D6604D","Total Count",4023697
2022-07-03,"Chile","Confirmed","#D6604D","Count per 10K",2246.62032384143
2022-07-03,"Chile","Confirmed","#D6604D","New Cases per 10K",5.46845337800112
2022-07-03,"South Africa","Confirmed","#D6604D","Total Count",3995291
2022-07-03,"South Africa","Confirmed","#D6604D","Count per 10K",713.253771311256
2022-07-03,"South Africa","Confirmed","#D6604D","New Cases per 10K",0.190663215210212
2022-07-03,"Canada","Confirmed","#D6604D","Total Count",3957823
2022-07-03,"Canada","Confirmed","#D6604D","Count per 10K",1090.60980986498
2022-07-03,"Canada","Confirmed","#D6604D","New Cases per 10K",0.255166712593001
2022-07-03,"Czechia","Confirmed","#D6604D","Total Count",3935570
2022-07-03,"Czechia","Confirmed","#D6604D","Count per 10K",3708.95297332956
2022-07-03,"Czechia","Confirmed","#D6604D","New Cases per 10K",0.148902082744322
2022-07-03,"Taiwan","Confirmed","#D6604D","Total Count",3870528
2022-07-03,"Taiwan","Confirmed","#D6604D","Count per 10K",1627.64003364172
2022-07-03,"Taiwan","Confirmed","#D6604D","New Cases per 10K",13.7392767031119
2022-07-03,"Switzerland","Confirmed","#D6604D","Total Count",3759730
2022-07-03,"Switzerland","Confirmed","#D6604D","Count per 10K",4474.80361818615
2022-07-03,"Switzerland","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Greece","Confirmed","#D6604D","Total Count",3719839
2022-07-03,"Greece","Confirmed","#D6604D","Count per 10K",3326.0363018598
2022-07-03,"Greece","Confirmed","#D6604D","New Cases per 10K",10.3978898426323
2022-07-03,"Philippines","Confirmed","#D6604D","Total Count",3708271
2022-07-03,"Philippines","Confirmed","#D6604D","Count per 10K",358.911246612466
2022-07-03,"Philippines","Confirmed","#D6604D","New Cases per 10K",0.127758420441347
2022-07-03,"Peru","Confirmed","#D6604D","Total Count",3637529
2022-07-03,"Peru","Confirmed","#D6604D","Count per 10K",1144.81305469881
2022-07-03,"Peru","Confirmed","#D6604D","New Cases per 10K",0.821741046138352
2022-07-03,"Denmark","Confirmed","#D6604D","Total Count",3220185
2022-07-03,"Denmark","Confirmed","#D6604D","Count per 10K",5637.57878151261
2022-07-03,"Denmark","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Romania","Confirmed","#D6604D","Total Count",2919461
2022-07-03,"Romania","Confirmed","#D6604D","Count per 10K",1476.11538072606
2022-07-03,"Romania","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Slovakia","Confirmed","#D6604D","Total Count",2551116
2022-07-03,"Slovakia","Confirmed","#D6604D","Count per 10K",4686.10580455547
2022-07-03,"Slovakia","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Sweden","Confirmed","#D6604D","Total Count",2519199
2022-07-03,"Sweden","Confirmed","#D6604D","Count per 10K",2560.68204919699
2022-07-03,"Sweden","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Iraq","Confirmed","#D6604D","Total Count",2356264
2022-07-03,"Iraq","Confirmed","#D6604D","Count per 10K",633.353224202349
2022-07-03,"Iraq","Confirmed","#D6604D","New Cases per 10K",0.635432626401097
2022-07-03,"China","Confirmed","#D6604D","Total Count",2142216
2022-07-03,"China","Confirmed","#D6604D","Count per 10K",15.1777896649816
2022-07-03,"China","Confirmed","#D6604D","New Cases per 10K",0.0162744479830525
2022-07-03,"Serbia","Confirmed","#D6604D","Total Count",2031920
2022-07-03,"Serbia","Confirmed","#D6604D","Count per 10K",2303.7641723356
2022-07-03,"Serbia","Confirmed","#D6604D","New Cases per 10K",0.849206349206349
2022-07-03,"Bangladesh","Confirmed","#D6604D","Total Count",1978689
2022-07-03,"Bangladesh","Confirmed","#D6604D","Count per 10K",121.427721046689
2022-07-03,"Bangladesh","Confirmed","#D6604D","New Cases per 10K",0.116721488536502
2022-07-03,"Hungary","Confirmed","#D6604D","Total Count",1928125
2022-07-03,"Hungary","Confirmed","#D6604D","Count per 10K",1976.95580846919
2022-07-03,"Hungary","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Jordan","Confirmed","#D6604D","Total Count",1700526
2022-07-03,"Jordan","Confirmed","#D6604D","Count per 10K",1798.35659898477
2022-07-03,"Jordan","Confirmed","#D6604D","New Cases per 10K",1.40545685279188
2022-07-03,"Georgia","Confirmed","#D6604D","Total Count",1660429
2022-07-03,"Georgia","Confirmed","#D6604D","Count per 10K",4230.3923566879
2022-07-03,"Georgia","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Ireland","Confirmed","#D6604D","Total Count",1600614
2022-07-03,"Ireland","Confirmed","#D6604D","Count per 10K",3386.82606855692
2022-07-03,"Ireland","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Pakistan","Confirmed","#D6604D","Total Count",1538622
2022-07-03,"Pakistan","Confirmed","#D6604D","Count per 10K",79.6375832673406
2022-07-03,"Pakistan","Confirmed","#D6604D","New Cases per 10K",0.0349373456933899
2022-07-03,"Singapore","Confirmed","#D6604D","Total Count",1467234
2022-07-03,"Singapore","Confirmed","#D6604D","Count per 10K",2609.80789754536
2022-07-03,"Singapore","Confirmed","#D6604D","New Cases per 10K",10.8982568480968
2022-07-03,"Norway","Confirmed","#D6604D","Total Count",1448228
2022-07-03,"Norway","Confirmed","#D6604D","Count per 10K",2755.90485252141
2022-07-03,"Norway","Confirmed","#D6604D","New Cases per 10K",0.213130352045671
2022-07-03,"Kazakhstan","Confirmed","#D6604D","Total Count",1396425
2022-07-03,"Kazakhstan","Confirmed","#D6604D","Count per 10K",776.309206137425
2022-07-03,"Kazakhstan","Confirmed","#D6604D","New Cases per 10K",0.21180787191461
2022-07-03,"New Zealand","Confirmed","#D6604D","Total Count",1370507
2022-07-03,"New Zealand","Confirmed","#D6604D","Count per 10K",2940.37116498605
2022-07-03,"New Zealand","Confirmed","#D6604D","New Cases per 10K",14.7414717871701
