Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Afghanistan,33.0,65.0,2020-03-07,1
,Afghanistan,33.0,65.0,2020-03-06,1
,Afghanistan,33.0,65.0,2020-03-05,1
,Afghanistan,33.0,65.0,2020-03-04,1
,Afghanistan,33.0,65.0,2020-03-03,1
,Afghanistan,33.0,65.0,2020-03-02,1
,Afghanistan,33.0,65.0,2020-03-01,1
,Afghanistan,33.0,65.0,2020-02-29,1
,Afghanistan,33.0,65.0,2020-02-28,1
,Afghanistan,33.0,65.0,2020-02-27,1
,Afghanistan,33.0,65.0,2020-02-26,1
,Afghanistan,33.0,65.0,2020-02-25,1
,Afghanistan,33.0,65.0,2020-02-24,1
,Afghanistan,33.0,65.0,2020-02-23,0
,Afghanistan,33.0,65.0,2020-02-22,0
,Afghanistan,33.0,65.0,2020-02-21,0
,Afghanistan,33.0,65.0,2020-02-20,0
,Afghanistan,33.0,65.0,2020-02-19,0
,Afghanistan,33.0,65.0,2020-02-18,0
,Afghanistan,33.0,65.0,2020-02-17,0
,Afghanistan,33.0,65.0,2020-02-16,0
,Afghanistan,33.0,65.0,2020-02-15,0
,Afghanistan,33.0,65.0,2020-02-14,0
,Afghanistan,33.0,65.0,2020-02-13,0
,Afghanistan,33.0,65.0,2020-02-12,0
,Afghanistan,33.0,65.0,2020-02-11,0
,Afghanistan,33.0,65.0,2020-02-10,0
,Afghanistan,33.0,65.0,2020-02-09,0
,Afghanistan,33.0,65.0,2020-02-08,0
,Afghanistan,33.0,65.0,2020-02-07,0
,Afghanistan,33.0,65.0,2020-02-06,0
,Afghanistan,33.0,65.0,2020-02-05,0
,Afghanistan,33.0,65.0,2020-02-04,0
,Afghanistan,33.0,65.0,2020-02-03,0
,Afghanistan,33.0,65.0,2020-02-02,0
,Afghanistan,33.0,65.0,2020-02-01,0
,Afghanistan,33.0,65.0,2020-01-31,0
,Afghanistan,33.0,65.0,2020-01-30,0
,Afghanistan,33.0,65.0,2020-01-29,0
,Afghanistan,33.0,65.0,2020-01-28,0
,Afghanistan,33.0,65.0,2020-01-27,0
,Afghanistan,33.0,65.0,2020-01-26,0
,Afghanistan,33.0,65.0,2020-01-25,0
,Afghanistan,33.0,65.0,2020-01-24,0
,Afghanistan,33.0,65.0,2020-01-23,0
,Afghanistan,33.0,65.0,2020-01-22,0
,Albania,41.1533,20.1683,2020-07-07,3038
,Albania,41.1533,20.1683,2020-07-06,2964
,Albania,41.1533,20.1683,2020-07-05,2893
,Albania,41.1533,20.1683,2020-07-04,2819
,Albania,41.1533,20.1683,2020-07-03,2752
,Albania,41.1533,20.1683,2020-07-02,2662
,Albania,41.1533,20.1683,2020-07-01,2580
,Albania,41.1533,20.1683,2020-06-30,2535
,Albania,41.1533,20.1683,2020-06-29,2466
,Albania,41.1533,20.1683,2020-06-28,2402
,Albania,41.1533,20.1683,2020-06-27,2330
,Albania,41.1533,20.1683,2020-06-26,2269
,Albania,41.1533,20.1683,2020-06-25,2192
,Albania,41.1533,20.1683,2020-06-24,2114
,Albania,41.1533,20.1683,2020-06-23,2047
,Albania,41.1533,20.1683,2020-06-22,1995
,Albania,41.1533,20.1683,2020-06-21,1962
,Albania,41.1533,20.1683,2020-06-20,1891
,Albania,41.1533,20.1683,2020-06-19,1838
,Albania,41.1533,20.1683,2020-06-18,1788
,Albania,41.1533,20.1683,2020-06-17,1722
,Albania,41.1533,20.1683,2020-06-16,1672
,Albania,41.1533,20.1683,2020-06-15,1590
,Albania,41.1533,20.1683,2020-06-14,1521
,Albania,41.1533,20.1683,2020-06-13,1464
,Albania,41.1533,20.1683,2020-06-12,1416
,Albania,41.1533,20.1683,2020-06-11,1385
,Albania,41.1533,20.1683,2020-06-10,1341
,Albania,41.1533,20.1683,2020-06-09,1299
,Albania,41.1533,20.1683,2020-06-08,1263
,Albania,41.1533,20.1683,2020-06-07,1246
,Albania,41.1533,20.1683,2020-06-06,1232
,Albania,41.1533,20.1683,2020-06-05,1212
,Albania,41.1533,20.1683,2020-06-04,1197
,Albania,41.1533,20.1683,2020-06-03,1184
,Albania,41.1533,20.1683,2020-06-02,1164
,Albania,41.1533,20.1683,2020-06-01,1143
