Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Afghanistan,33.0,65.0,2020-07-07,20179
,Afghanistan,33.0,65.0,2020-07-06,20103
,Afghanistan,33.0,65.0,2020-07-05,19366
,Afghanistan,33.0,65.0,2020-07-04,19164
,Afghanistan,33.0,65.0,2020-07-03,17331
,Afghanistan,33.0,65.0,2020-07-02,16041
,Afghanistan,33.0,65.0,2020-07-01,15651
,Afghanistan,33.0,65.0,2020-06-30,14131
,Afghanistan,33.0,65.0,2020-06-29,13934
,Afghanistan,33.0,65.0,2020-06-28,12604
,Afghanistan,33.0,65.0,2020-06-27,10674
,Afghanistan,33.0,65.0,2020-06-26,10306
,Afghanistan,33.0,65.0,2020-06-25,10174
,Afghanistan,33.0,65.0,2020-06-24,9869
,Afghanistan,33.0,65.0,2020-06-23,9260
,Afghanistan,33.0,65.0,2020-06-22,8841
,Afghanistan,33.0,65.0,2020-06-21,8764
,Afghanistan,33.0,65.0,2020-06-20,8292
,Afghanistan,33.0,65.0,2020-06-19,7962
,Afghanistan,33.0,65.0,2020-06-18,7660
,Afghanistan,33.0,65.0,2020-06-17,6158
,Afghanistan,33.0,65.0,2020-06-16,5508
,Afghanistan,33.0,65.0,2020-06-15,5164
,Afghanistan,33.0,65.0,2020-06-14,4725
,Afghanistan,33.0,65.0,2020-06-13,4201
,Afghanistan,33.0,65.0,2020-06-12,3928
,Afghanistan,33.0,65.0,2020-06-11,3326
,Afghanistan,33.0,65.0,2020-06-10,3013
,Afghanistan,33.0,65.0,2020-06-09,2651
,Afghanistan,33.0,65.0,2020-06-08,2171
,Afghanistan,33.0,65.0,2020-06-07,1875
,Afghanistan,33.0,65.0,2020-06-06,1830
,Afghanistan,33.0,65.0,2020-06-05,1762
,Afghanistan,33.0,65.0,2020-06-04,1585
,Afghanistan,33.0,65.0,2020-06-03,1522
,Afghanistan,33.0,65.0,2020-06-02,1450
